2 petle w wywolywanej funkcji w algorytmie i 3 petle w samym algorytmie.

//////////////////////////////////////
Dla macierzy skladajacych sie z 0 i 1.
//////////////////////////////////////

F(n) = n*n*n+n*n

W = 4 	n: 5 	Czas: 0.0000106400 	Wspolczynnik: 14097744.36090
W = 7 	n: 10 	Czas: 0.0000190090 	Wspolczynnik: 57867326.00347
W = 12 	n: 15 	Czas: 0.0000834930 	Wspolczynnik: 43117387.08634
W = 12 	n: 20 	Czas: 0.0001895180 	Wspolczynnik: 44322966.68390
W = 8 	n: 25 	Czas: 0.0003878310 	Wspolczynnik: 41899693.42317
W = 10 	n: 30 	Czas: 0.0005903490 	Wspolczynnik: 47260179.99522
W = 10 	n: 35 	Czas: 0.0009218050 	Wspolczynnik: 47840920.80212
W = 12 	n: 40 	Czas: 0.0011546280 	Wspolczynnik: 56814835.60073
W = 12 	n: 45 	Czas: 0.0006943150 	Wspolczynnik: 134161007.61182
W = 16 	n: 50 	Czas: 0.0006586660 	Wspolczynnik: 193573070.41809
W = 11 	n: 55 	Czas: 0.0008667710 	Wspolczynnik: 195438010.73178
W = 16 	n: 60 	Czas: 0.0011416220 	Wspolczynnik: 192357890.79047
W = 12 	n: 65 	Czas: 0.0015092470 	Wspolczynnik: 184761009.96060
W = 15 	n: 70 	Czas: 0.0012819970 	Wspolczynnik: 271373489.95356
W = 18 	n: 75 	Czas: 0.0013985930 	Wspolczynnik: 305664335.51433
W = 15 	n: 80 	Czas: 0.0017007780 	Wspolczynnik: 304801684.87598
W = 13 	n: 85 	Czas: 0.0020655480 	Wspolczynnik: 300816054.62570
W = 15 	n: 90 	Czas: 0.0029516870 	Wspolczynnik: 249721599.88508
W = 14 	n: 95 	Czas: 0.0028638530 	Wspolczynnik: 302529494.35603
W = 19 	n: 100 	Czas: 0.0033997450 	Wspolczynnik: 297081104.61226
W = 18 	n: 105 	Czas: 0.0037643380 	Wspolczynnik: 310452993.32844
W = 16 	n: 110 	Czas: 0.0044776600 	Wspolczynnik: 299955780.47462
W = 15 	n: 115 	Czas: 0.0053250740 	Wspolczynnik: 288089893.21087
W = 14 	n: 120 	Czas: 0.0057037690 	Wspolczynnik: 305482217.10942
W = 18 	n: 125 	Czas: 0.0062416450 	Wspolczynnik: 315421655.66930
W = 20 	n: 130 	Czas: 0.0070568860 	Wspolczynnik: 313721944.77848
W = 15 	n: 135 	Czas: 0.0078875220 	Wspolczynnik: 314243180.55785
W = 15 	n: 140 	Czas: 0.0088640620 	Wspolczynnik: 311775797.59708
W = 16 	n: 145 	Czas: 0.0097346860 	Wspolczynnik: 315331177.60552
W = 15 	n: 150 	Czas: 0.0108760680 	Wspolczynnik: 312383114.92720
W = 14 	n: 155 	Czas: 0.0161698790 	Wspolczynnik: 231782810.49598
W = 15 	n: 160 	Czas: 0.0148341580 	Wspolczynnik: 277845227.21141
W = 16 	n: 165 	Czas: 0.0145931800 	Wspolczynnik: 309689183.57753
